coord_op_method_code,coord_op_method_name,reverse_op,formula,example,remarks,information_source,data_source,revision_date,change_id,deprecated
9654,Reversible polynomial of degree 13,1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶See method code 9648 for description of general polynomial formula.¶¶A general polynomial transformation is reversible only when the following conditions are met.¶1. The co-ordinates of source and target evaluation point are (numerically) the same.¶2. The unit of measure of the coordinate differences in source and target coordinate reference system are the same.¶3. The scaling factors applied to source and target coordinate differences are the same.¶4. The spatial variation of the differences between the coordinate reference systems around any given location is sufficiently small.¶¶Clarification on conditions for polynomial reversibility:¶Regarding 1 and 2 - 	In the reverse transformation the roles of the source and target coordinate reference systems are reversed.  Consequently, the co-ordinates of the evaluation point in the source coordinate reference system become those in the target coordinate reference system in the reverse transformation. Usage of the same transformation parameters for the reverse transformation will therefore only be valid if the evaluation point coordinates are numerically the same in source and target coordinate reference system and in the same units.  That is, XS0 = XT0 = X0 and YS0 = YT0 = Y0.¶Re 3 - The same holds for the scaling factors of the source and target coordinate differences and for the units of measure of the coordinate differences. That is, mS = mT = m.¶Re 4 - 	If conditions 1, 2 and 3 are all satisfied it then may be possible to use the forward polynomial algorithm with the forward parameters for the reverse transformation. This is the case if the spatial variations in dX and dY around any given location are sufficiently constant.  The signs of the polynomial coefficients are then reversed but the scaling factor and the evaluation point coordinates retain their signs. If these spatial variations in dX and dY are too large, for the reverse transformation iteration would be necessary.   It is therefore not the algorithm that determines whether a single step solution is sufficient or whether iteration is required, but the desired accuracy combined with the degree of spatial variability of dX and dY.¶¶An example of a reversible polynomial is transformation is ED50 to ED87 (1) for the North Sea.  The suitability of this transformation to be described by a reversible polynomial can easily be explained. In the first place both source and target coordinate reference systems are of type geographic 2D. The typical difference in coordinate values between ED50 and ED87 is in the order of 2 metres (approximately 10E-6 degrees) in the area of application. The polynomial functions are evaluated about central points with coordinates of 55 deg N, 0 deg E in both coordinate reference systems. The reduced coordinate differences (in degrees) are used as input parameters to the polynomial functions. The output coordinate differences are corrections to the input coordinate offsets of about 10E-6 degrees. This difference of several orders of magnitude between input and output values is the property that makes a polynomial function reversible in practice (although not in a formal mathematical sense).¶¶The error made by the polynomial approximation formulas in calculating the reverse correction is of the same order of magnitude as the ratio of output versus input:¶(output error / input error) = (	output valu/ input value) which is approximately 10E-6¶¶As long as the input values (the coordinate offsets from the evaluation point) are orders of magnitude larger than the output (the corrections), and provided the coefficients are used with changed signs, the polynomial transformation may be considered to be reversible.","See Reversible polynomial of degree 4, code 9651, for general methodology.",,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2003-09-22,,0
9655,France geocentric interpolation,1,The transformation is made in the geocentric domain using the geocentric translations method (code 9603). However the translation parameter values are derived by bilinear interpolation in a gridded data set. The arguments in accessing the grid are geodetic latitude and longitude of the forward transformation source coordinate reference system. ¶¶The method is reversible.  Iteration for latitude and longitude is required to obtain the correct geocentric translation values. The geocentric translations are applied with sign reversal.,See information source.,,"IGN document NTG_88.pdf, ""Grille de parametres de transformation de coordonnees"". http://www.ign.fr",OGP,2008-04-11,2008.027,0
9656,Cartesian Grid Offsets,1,Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶Easting_T = Easting_S + easting_offset ¶Northing_T = Northingn_S + northing_offset.,(none),This transformation allows calculation of coordinates in the target system by adding the parameter value to the coordinate values of the point in the source system.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2004-04-14,,0
9657,Vertical Offset and Slope,1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶In Europe, national height systems are related to the pan-European height system through three transformation parameters and the formula:¶¶Ht = Hs + A + [IncLat * rhoO * (Lat  LatO)] + [IncLong * nuO * (Long  LongO) * cos(Lat)]¶¶where¶Ht = gravity-related height value in the target vertical coordinate reference system.¶Hs = gravity-related height value in the source vertical coordinate reference system.¶A is the value of the vertical offset to be applied.¶IncLat is the value in radians of the inclination parameter in the latitude domain, i.e. in the plane of the meridian, derived at an evaluation point with coordinates of LatO , LongO.¶IncLon is the value of the inclination parameter in the longitude domain, i.e. perpendicular to the plane of the meridian.¶rhoO is the radius of curvature of the meridian at latitude LatO, where rhoO = a(1  e^2)/(1  e^2 * sin^2(LatO))^1.5¶nuO is the radius of curvature on the prime vertical (i.e. perpendicular to the meridian) at latitude LatO, wh		ere nuO = a /(1  e^2 * sin^2(LatO))^0.5¶Lat , Long are the horizontal coordinates of the point in the ETRS89 coordinate reference system, in radians.¶LatO , LongO are the coordinates of the evaluation point in the ETRS89 coordinate reference system, in radians.¶¶The horizontal location of the point must always be given in ETRS89 terms. Care is required where compound coordinate reference systems are in use: if the horizontal coordinates of the point are known in the local CRS they must first be transformed to ETRS89 values. The method is reversible.","For coordinate transformation LN02 to EVRF2000 (1)¶¶Ordinate 1 of evaluation point: 46deg 55min N = 0.818850307 	radians¶Ordinate 2 of evaluation point: 8deg 11min E of Greenwich = 0.142826110 	radians¶Transformation Parameters:¶A = -0.245m		¶IncLat = -0.210""  = -0.000001018 	radians¶IncLong = -0.032""  = -0.000000155 	radians¶¶Consider a point having a gravity-related height in the LN02 system (Hs) of 473.0m and with horizontal coordinates in the ETRS89 geographical coordinate reference system of:¶ETRS89 latitude: 47deg 20 min N = 0.826122513 	radians¶ETRS89 longitude: 9 deg 40min E of Greenwich = 0.168715161 	radians¶				¶Then rhoO = 6369526.88 m		¶IncLat term = -0.047 m	¶nuO = 6389555.64  m 		¶incLong term = -0.017 m¶whence EVRF2000 height (Ht) = 473.0 +(-0.245) + (-0.047) + (-0.017) = 472.690 m.",This transformation allows calculation of height in the target system by applying the parameter values to the height value of the point in the source system.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2004-04-14,,0
9658,VERTCON,1,See information source.,See information source.,Geodetic transformation operating on geographic coordinate differences by bi-linear interpolation.  Input expects longitudes to be positive west.,US National Geodetic Survey - http://www.ngs.noaa.gov,OGP,2004-04-27,,0
9659,Geographic3D to 2D conversion,1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶The forward case is trivial. A 3-dimensional geographic coordinate reference system comprising of geodetic latitude, geodetic longitude and ellipsoidal height is converted to its 2-dimensional subset by the simple expedient of dropping the height.¶¶The reverse conversion, from 2D to 3D, is indeterminate. It is however a requirement when a geographic 2D coordinate reference system is to be transformed using a geocentric method which is 3-dimensional. In practice an artificial ellipsoidal height is created and appended to the geographic 2D coordinate reference system to create a geographic 3D coordinate reference system referenced to the same geodetic datum. The assumed ellipsoidal height is usually either set to the gravity-related height of a position in a compound coordinate reference system, or set to zero. As long as the height chosen is within a few kilometres of sea level, no error will be induced into the horizontal position resulting from the later geocentric transformation; the vertical coordinate will however be meaningless.",(none),This is a parameter-less conversion.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2004-04-27,,0
9660,Geographic3D offsets,1,Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶Lat_T = Lat_S + latitude_offset ¶Lon_T = Lon_S + longitude_offset ¶EllipsoidHeight_T = EllipsoidHeight_S + ellipsoid_height_offset.,(none),This transformation allows calculation of coordinates in the target system by adding the parameter value to the coordinate values of the point in the source system.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2004-04-27,,0
9661,Geographic3D to GravityRelatedHeight (EGM),0,"This transformation involves the application of a geoid-ellipsoid separation value interpolated from a geoid model. The model provides separation values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.¶¶The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.¶¶Calculation of the separation is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the geoid-ellipsoid separation (N) above the ellipsoid of the source Geographic 3D CRS.¶¶Then:¶           H = h - N¶¶where h = the height above the ellipsoid in the source geographic 3D CRS¶and     H = the geoid height in the target vertical CRS.",(none),"Applies to EGM84 and EGM96 models. For later model see Geographic3D to GravityRelatedHeight (EGM2008), method code 1025.","EPSG guidance note #7-2, http://www.epsg.org",OGP,2009-02-10,2008.010 2008.097,0
9662,Geographic3D to GravityRelatedHeight (Ausgeoid98),0,"This transformation involves the application of a geoid-ellipsoid separation value interpolated from a geoid model. The model provides separation values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.¶¶The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.¶¶Calculation of the separation is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the geoid-ellipsoid separation (N) above the ellipsoid of the source Geographic 3D CRS.¶¶Then:¶           H = h - N¶¶where h = the height above the ellipsoid in the source geographic 3D CRS¶and     H = the geoid height in the target vertical CRS.",(none),,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2008-04-11,2008.010,0
9663,Geographic3D to GravityRelatedHeight (OSGM02),0,"This transformation involves the application of a height difference interpolated from a height correction model. The model provides height difference values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.¶¶The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.¶¶Calculation of the height difference is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the height correction (C) of the target datum above the ellipsoid of the source Geographic 3D CRS. C differs from the geoid-ellipsoid separation N because a vertical datum is a realisation of the geoid surface, not the geoid itself.¶¶Then:¶           H = h - C¶¶where h = the height above the ellipsoid in the source geographic 3D CRS¶and     H = the gravity-related height in the target vertical CRS.",(none),Transformation of the vertical component of a Geographic 3D CRS to a Vertical CRS.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2008-04-11,2008.010,0
9664,Geographic3D to GravityRelatedHeight (IGN),0,"This transformation involves the application of a height difference interpolated from a height correction model. The model provides height difference values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.¶¶The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.¶¶Calculation of the height difference is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the height correction (C) of the target datum above the ellipsoid of the source Geographic 3D CRS. C differs from the geoid-ellipsoid separation N because a vertical datum is a realisation of the geoid surface, not the geoid itself.¶¶Then:¶           H = h - C¶¶where h = the height above the ellipsoid in the source geographic 3D CRS",(none),Transformation of the vertical component of a Geographic 3D CRS to a Vertical CRS.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2008-04-11,2008.010,0
9665,Geographic3D to GravityRelatedHeight (US),0,"This transformation involves the application of a height difference interpolated from a height correction model. The model provides height difference values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.¶¶The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.¶¶Calculation of the height difference is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the height correction (C) of the target datum above the ellipsoid of the source Geographic 3D CRS. C differs from the geoid-ellipsoid separation N because a vertical datum is a realisation of the geoid surface, not the geoid itself.¶¶Then:¶           H = h - C¶¶where h = the height above the ellipsoid in the source geographic 3D CRS",(none),Transformation of the vertical component of a Geographic 3D CRS to a Vertical CRS.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2008-04-11,2008.010,0
9666,UKOOA P6 seismic bin grid transformation,1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶XT = XT0   +   XS .  k . dSX . cos q   +   YS .  k .  dSY  . sin q¶YT = YT0      XS .  k .  dSX . sin q    +   YS .  k .  dSY  . cos q¶¶where:¶¶XT0 ,YT0  = the coordinates of the origin point of the source coordinate reference system, expressed in the target coordinate reference system;¶dSX , dSY  = the length of one unit of the source  axis, expressed in units of the target axis, for the X axes and the Y- axes respectively;¶k = point scale factor of the target coordinate reference system in a chosen reference point;¶q  = the angle through which the source coordinate reference system axes must be rotated to coincide with the target coordinate refderence system axes (counter-clockwise is positive). Alternatively, the bearing (clockwise positive) of the source coordinate reference system Y-axis measured relative to target coordinate reference system north.","This example is given in the UKOOA P6/98 document. Source coordinate reference system: imaginary 3D seismic acquisition bin grid. The two axes are orthogonal, but the bin width on the I-axis (XS axis) is 25 metres, whilst the bin width on the J-axis (YS axis) is 12.5 metres. The origin of the grid has bin values of 1,1.¶¶The target coordinate reference system is a projected CRS (WGS 84 / UTM Zone 31N) upon which the origin of the bin grid is defined at E = 456781.0, N = 5836723.0.  The projected coordinate reference system point scale factor at the bin grid origin is 0.99984.¶¶In the map grid (target CRS), the bearing of the bin grid (source CRS) I and J axes are 110deg and 20deg respectively.  Thus the angle through which the bin grid axes need to be rotated to coincide with the map grid axes is +20 degrees.¶¶The transformation parameter values are:¶¶Parameter                                     	Parameter value¶Bin grid origin                                 	1¶Bin grid origin                                 	1¶Bin grid origin Easting                       	456781.00 m¶Bin grid origin Northing                    5836723.00 m¶Scale factor of bin grid  	                	0.99984¶Bin Width on I-axis                         	25 m¶Bin Width on J-axis                        	12.5 m¶Map grid bearing of bin grid J-axis    	20 deg¶Bin node increment on I-axis           	1¶Bin node increment on J-axis          	1¶¶
Forward calculation for centre of bin with coordinates: I = 300, J = 247:¶XT = Easting   = XTO   +   [(XS  XSO) * cos q * k * MX / IncSX]  +  [(YS  YSO) * sin q * k * MY / IncSY]¶= 456781.000 + 7023.078 + 1051.544 ¶= 464855.62 m.¶¶YT = Northing = YTO      [(XS  XSO) * sin q * k * MX / IncSX]   +  [(YS  YSO) * cos q * k * MY / IncSY]¶= 5836723.000 - 2556.192 + 2889.092¶= 5837055.90 m.¶¶Reverse calculation for this point 464 855.62mE, 5 837 055.90mN:¶XS = {[( XT   XTO) * cos q    (YT  YTO) * sin q ] * [IncSX  / (k * MX)]} + XSO ¶= 300 bins, ¶¶YS = {[(XT    XTO) * sin q   +  (YT  YTO) * cos q] * [IncSY  / (k * MY)]} + YSO ¶= 247 bins",,"UKOOA Data Exchange Format P6/98, Definition of 3D Seismic Binning Grids, revision 3, May 2000.",OGP,2005-08-25,,0
9801,Lambert Conic Conformal (1SP),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶To derive the projected Easting and Northing coordinates of a point with geographical coordinates (lat,lon) the formulas for the one standard parallel case are:¶¶E = FE + r sin(theta)¶N = FN + r0 - r cos(theta)¶where¶n = sin lat0¶r = a F t^n k0     for r0, and r¶m = cos(lat)/(1 - e^2 sin^2(lat))^0.5     for m0, lat0, and m2, lat2 where lat1 and lat2 are the latitudes of the standard parallels.¶t  = tan(pi/4 - lat/2)/[(1 - e sin(lat))/(1 + e sin(lat))]^(e/2)   for t0 and t using lat0 and lat respectively.¶F = m0/(n  t1^n)¶theta = n(lon - lon0)¶¶The reverse formulas to derive the latitude and longitude of a point from its Easting and Northing values are:¶¶lat = pi/2 - 2arctan{t'[(1 - esin(lat))/(1 + esin(lat))]^(e/2)}¶lon = theta'/n +lon0¶where¶theta' = arctan[(E - FE)/{r0 -(N - FN)}]¶r' = +/-[(E - FE)^2 + {r0 - (N - FN)}^2]^0.5  taking the sign of n¶t' = (r'/(a k0 F))^(1/n)¶and n, F, and rF are derived as for the forward calculation.","For Projected Coordinate System JAD69 / Jamaica National Grid¶¶Parameters:¶Ellipsoid:  Clarke 1866, a = 6378206.400 m., 1/f = 294.97870¶                                   then  e = 0.08227185 and e^2 = 0.00676866¶¶Latitude Natural Origin         18°00'00""N  =  0.31415927 rad¶Longitude Natural Origin     77°00'00""W = -1.34390352 rad¶Scale factor at origin            1.000000¶False Eastings  FE               250000.00 m¶False Northings FN              150000.00 m¶¶Forward calculation for: ¶Latitude:     17°55'55.80""N  =  0.31297535 rad¶Longitude:  76°56'37.26""W = -1.34292061 rad¶first gives¶m0    =  0.95136402        t0 =  0.72806411¶F       =  3.39591092        n  =  0.30901699¶r        =  19643955.26     r0  =  19636447.86¶theta =  0.00030374        t   =  0.728965259¶¶Then Easting E   =     255966.58 m¶         Northing N =      142493.51 m¶¶Reverse calculation for the same easting and northing first gives¶¶theta' =  0.000303736¶t'        =  0.728965259¶m0     =  0.95136402¶r'        =  19643955.26¶¶Then Latitude     = 17°55'55.800""N¶         Longitude  = 76°56'37.260""W",,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2001-06-05,2001.080,0
9802,Lambert Conic Conformal (2SP),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶To derive the projected Easting and Northing coordinates of a point with geographical coordinates (lat,lon) the formulas for the one standard parallel case are:¶¶E = EF + r sin(theta)¶N = NF + rF - r cos(theta)¶where¶m = cos(lat)/(1 - e^2 sin^2(lat))^0.5     for m1, lat1, and m2, lat2 where lat1 and lat2 are the latitudes of the standard parallels.¶t  = tan(pi/4 - lat/2)/[(1 - e sin(lat))/(1 + e sin(lat))]^(e/2)   for t1, t2, tF and t using lat1, lat2, latF and lat respectively.¶n = (loge(m1) - loge(m2))/(loge(t1) - loge(t2))¶F = m1/(n  t1^n)¶r =  a F t^n         for rF and r, where rF is the radius of the parallel of latitude of the false origin.¶theta = n(lon - lon0)¶¶The reverse formulas to derive the latitude and longitude of a point from its Easting and Northing values are:¶¶lat = pi/2 - 2arctan{t'[(1 - esin(lat))/(1 + esin(lat))]^(e/2)}¶lon = theta'/n +lon0¶where¶r' = +/-[(E - EF)^2 + {rF - (N - NF)}^2]^0.5 , taking the sign of n¶t' = (r'/(aF))^(1/n)¶theta' = arctan [(E- EF)/(rF - (N- NF))]¶and n, F, and rF are derived as for the forward calculation.","For Projected Coordinate System NAD27 / Texas South Central¶¶Parameters:¶Ellipsoid  Clarke 1866, a = 6378206.400 metres = 20925832.16 US survey feet¶                                   1/f = 294.97870¶then e = 0.08227185 and e^2 = 0.00676866¶¶First Standard Parallel          28°23'00""N  =   0.49538262 rad¶Second Standard Parallel    30°17'00""N  =   0.52854388 rad¶Latitude False Origin            27°50'00""N  =   0.48578331 rad¶Longitude False Origin         99°00'00""W = -1.72787596 rad¶Easting at false origin           2000000.00  US survey feet¶Northing at false origin          0.00  US survey feet¶¶Forward calculation for: ¶Latitude       28°30'00.00""N  =  0.49741884 rad¶Longitude    96°00'00.00""W = -1.67551608 rad¶¶first gives :¶m1    = 0.88046050      m2 = 0.86428642¶t        = 0.59686306      tF  = 0.60475101¶t1      = 0.59823957      t2 = 0.57602212¶n       = 0.48991263       F = 2.31154807¶r        = 37565039.86    rF = 37807441.20¶theta = 0.02565177¶¶Then Easting E =      2963503.91 US survey feet¶         Northing N =      254759.80 US survey feet¶¶Reverse calculation for same easting and northing first gives:¶theta' = 0.025651765     r' = 37565039.86¶t'        = 0.59686306¶¶Then Latitude     = 28°30'00.000""N¶         Longitude   = 96°00'00.000""W",,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2001-06-05,1999.280 2001.080,0
9803,Lambert Conic Conformal (2SP Belgium),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶For the Lambert Conic Conformal (2 SP Belgium), the formulas for the regular two standard parallel case (coordinate operation method code 9802) are used except for: ¶¶Easting, E = EF + r sin (theta - alpha)¶Northing, N = NF + rF - r cos (theta - alpha)¶¶and for the reverse formulas¶lon = ((theta' + alpha)/n) +lon0¶where alpha = 29.2985 seconds.","For Projected Coordinate System Belge 1972 / Belge Lambert 72¶¶Parameters:¶Ellipsoid  International 1924,  a = 6378388 metres¶                                              1/f = 297¶then e = 0.08199189 and e^2 = 0.006722670¶¶First Standard Parallel        49°50'00""N       =   0.86975574 rad¶Second Standard Parallel  51°10'00""N       =   0.89302680 rad¶Latitude False Origin          90°00'00""N       =   1.57079633 rad¶Longitude False Origin         4°21'24.983""E = 0.07604294 rad¶Easting at false origin EF        150000.01  metres¶Northing at false origin NF    5400088.44  metres¶¶Forward calculation for: ¶Latitude        50°40'46.461""N  =  0.88452540 rad¶Longitude       5°48'26.533""E   = 0.10135773 rad¶¶first gives :¶m1     = 0.64628304         m2 = 0.62834001¶t        = 0.59686306          tF  = 0.00000000¶t1      = 0.36750382           t2 = 0.35433583¶n       = 0.77164219            F = 1.81329763¶r        = 37565039.86         rF = 0.00¶alpha = 0.00014204     theta = 0.01953396¶¶Then Easting E  =      251763.20 metres¶         Northing N =      153034.13 metres¶¶Reverse calculation for same easting and northing first gives:¶theta' = 0.01939192      r' = 548041.03¶t' = 0.35913403¶Then Latitude   =    50°40'46.461""N¶         Longitude =     5°48'26.533""E",In 2000 this modification was replaced through use of the regular Lambert Conic Conformal (2SP) method [9802] with appropriately modified parameter values.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,1999-04-22,1999.280,0
9804,Mercator (1SP),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶The formulas to derive projected Easting and Northing coordinates are:¶¶E = FE + a*k0(lon - lon0)              ¶N = FN + a*k0* ln{tan(pi/4 + lat/2)[(1 - esin(lat))/(1 + esin(lat))]^e/2} where symbols are as listed above and logarithms are natural.¶¶The reverse formulas to derive latitude and longitude from E and N values are:¶¶lat = chi + (esq/2 + 5e^4/24 + e^6/12 + 13e^8/360) sin(2chi) ¶+ (7e^4/48 + 29e^6/240 + 811e^8/11520) sin(4chi)¶+ (7e^6/120 +  81e^8/1120) sin(6chi)  + (4279e^8/161280) sin(8chi)¶¶where chi = pi/2 - 2 arctan t¶t = B^((FN-N)/(a*k0)) ¶B = base of the natural logarithm, 2.7182818...¶and  for the 2 SP Case, k0 is calculated as for the forward transformation above.¶lon  =  ((E - FE)/(a*k0))  + lon0","For Projected Coordinate System Makassar / NEIEZ¶¶Parameters:¶Ellipsoid   Bessel 1841  a = 6377397.155 m   1/f = 299.15281¶then e = 0.08169683¶¶Latitude Natural Origin         00°00'00""N  = 0.0000000 rad¶Longitude Natural Origin    110°00'00""E  = 1.91986218 rad¶Scale factor ko                  0.997¶False Eastings FE              3900000.00 m¶False Northings FN              900000.00 m¶¶Forward calculation for: ¶Latitude            3°00'00.00""S   = -0.05235988 rad¶Longitude     120°00'00.00""E   =  2.09439510 rad¶gives¶Easting  E   =      5009726.58 m¶Northing N  =        569150.82 m¶¶Reverse calculation for same easting and northing first gives :¶t    = 1.0534121¶chi = -0.0520110¶¶Then Latitude     =   3°00'00.000""S¶         Longitude  = 120°00'00.000""E","Note that in these formulas the parameter latitude of natural origin (lat0) is not used. However for the Merctor (1SP) method the EPSG dataset includes this parameter, which must have a value of zero, for completeness in CRS labelling.","EPSG guidance note #7-2, http://www.epsg.org",OGP,2004-06-22,2001.080 2004.430 2008.000,0
9805,Mercator (2SP),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶The formulas to derive projected Easting and Northing coordinates are:¶¶For the two standard parallel case, k0 is first calculated from¶¶k0 = cos(latSP1)/(1 - e^2*sin^2(latSP1))^0.5 ¶ ¶where latSP1 is the absolute value of the first standard parallel (i.e. positive).  ¶¶Then, for both one and two standard parallel cases, ¶¶E = FE + a*k0(lon - lon0)              ¶N = FN + a*k0* ln{tan(pi/4 + lat/2)[(1 - esin(lat))/(1 + esin(lat))]^e/2} where symbols are as listed above and logarithms are natural.¶¶The reverse formulas to derive latitude and longitude from E and N values are:¶¶lat = chi + (esq/2 + 5e^4/24 + e^6/12 + 13e^8/360) sin(2chi) ¶+ (7e^4/48 + 29e^6/240 + 811e^8/11520) sin(4chi)¶+ (7e^6/120 +  81e^8/1120) sin(6chi)  + (4279e^8/161280) sin(8chi)¶¶where chi = pi/2 - 2 arctan t¶t = B^((FN-N)/a*k0) ¶B = base of the natural logarithm, 2.7182818...¶and  for the 2 SP Case, k0 is calculated as for the forward transformation above.¶lon  =  ((E - FE)/a*k0)  + lon0","For Projected Coordinate System Pulkovo 1942 / Mercator Caspian Sea¶¶Parameters:¶Ellipsoid  Krassowski 1940   a = 6378245.00m   1/f = 298.300¶then e = 0.08181333 and e^2 = 0.00669342¶¶Latitude first SP                             42°00'00""N = 0.73303829 rad¶Longitude Natural Origin                51°00'00""E = 0.89011792 rad¶False Eastings FE                          0.00 m¶False Northings (at equator) FN     0.00 m¶  ¶then natural origin at latitude of 0°N has scale factor k0=  0.744260894¶¶Forward calculation for: ¶Latitude        53°00'00.00""N = 0.9250245 rad¶Longitude     53°00'00.00""E  = 0.9250245 rad¶¶gives Easting E   =     165704.29 m ¶          Northing N =   5171848.07 m¶¶Reverse calculation for same easting and northing first gives :¶t = 0.336391288    chi = 0.921795958¶¶Then Latitude     =  53°00'00.000""N¶          Longitude  =  53°00'00.000""E",Used for most nautical charts.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2006-07-30,2004.320 2004.430,0
