coord_ref_sys_code,coord_ref_sys_name,area_of_use_code,coord_ref_sys_kind,coord_sys_code,datum_code,source_geogcrs_code,projection_conv_code,cmpd_horizcrs_code,cmpd_vertcrs_code,crs_scope,remarks,information_source,data_source,revision_date,change_id,show_crs,deprecated
3249,WGS 84 / SCAR IMW SS28-30,3036,projected,4400,,4326,17249,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3250,WGS 84 / SCAR IMW SS31-33,3037,projected,4400,,4326,17250,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3251,WGS 84 / SCAR IMW SS34-36,3038,projected,4400,,4326,17251,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3252,WGS 84 / SCAR IMW SS37-39,3039,projected,4400,,4326,17252,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3253,WGS 84 / SCAR IMW SS40-42,3040,projected,4400,,4326,17253,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3254,WGS 84 / SCAR IMW SS43-45,3041,projected,4400,,4326,17254,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3255,WGS 84 / SCAR IMW SS46-48,3042,projected,4400,,4326,17255,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3256,WGS 84 / SCAR IMW SS49-51,3043,projected,4400,,4326,17256,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3257,WGS 84 / SCAR IMW SS52-54,3044,projected,4400,,4326,17257,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3258,WGS 84 / SCAR IMW SS55-57,3045,projected,4400,,4326,17258,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3259,WGS 84 / SCAR IMW SS58-60,3046,projected,4400,,4326,17259,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3260,WGS 84 / SCAR IMW ST01-04,3047,projected,4400,,4326,17260,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3261,WGS 84 / SCAR IMW ST05-08,3048,projected,4400,,4326,17261,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3262,WGS 84 / SCAR IMW ST09-12,3049,projected,4400,,4326,17262,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3263,WGS 84 / SCAR IMW ST13-16,3050,projected,4400,,4326,17263,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3264,WGS 84 / SCAR IMW ST17-20,3051,projected,4400,,4326,17264,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3265,WGS 84 / SCAR IMW ST21-24,3052,projected,4400,,4326,17265,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3266,WGS 84 / SCAR IMW ST25-28,3053,projected,4400,,4326,17266,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3267,WGS 84 / SCAR IMW ST29-32,3054,projected,4400,,4326,17267,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3268,WGS 84 / SCAR IMW ST33-36,3055,projected,4400,,4326,17268,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3269,WGS 84 / SCAR IMW ST37-40,3056,projected,4400,,4326,17269,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3270,WGS 84 / SCAR IMW ST41-44,3057,projected,4400,,4326,17270,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3271,WGS 84 / SCAR IMW ST45-48,3058,projected,4400,,4326,17271,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3272,WGS 84 / SCAR IMW ST49-52,3059,projected,4400,,4326,17272,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3273,WGS 84 / SCAR IMW ST53-56,3060,projected,4400,,4326,17273,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3274,WGS 84 / SCAR IMW ST57-60,3061,projected,4400,,4326,17274,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3275,WGS 84 / SCAR IMW SU01-05,3062,projected,4471,,4326,17275,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3276,WGS 84 / SCAR IMW SU06-10,3063,projected,4473,,4326,17276,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3277,WGS 84 / SCAR IMW SU11-15,3064,projected,4474,,4326,17277,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3278,WGS 84 / SCAR IMW SU16-20,3065,projected,4476,,4326,17278,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3279,WGS 84 / SCAR IMW SU21-25,3066,projected,4477,,4326,17279,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3280,WGS 84 / SCAR IMW SU26-30,3067,projected,4479,,4326,17280,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3281,WGS 84 / SCAR IMW SU31-35,3068,projected,4480,,4326,17281,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3282,WGS 84 / SCAR IMW SU36-40,3069,projected,4482,,4326,17282,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3283,WGS 84 / SCAR IMW SU41-45,3070,projected,4483,,4326,17283,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3284,WGS 84 / SCAR IMW SU46-50,3071,projected,4485,,4326,17284,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3285,WGS 84 / SCAR IMW SU51-55,3072,projected,4486,,4326,17285,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3286,WGS 84 / SCAR IMW SU56-60,3073,projected,4488,,4326,17286,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3287,WGS 84 / SCAR IMW SV01-10,3074,projected,4472,,4326,17287,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3288,WGS 84 / SCAR IMW SV11-20,3075,projected,4475,,4326,17288,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3289,WGS 84 / SCAR IMW SV21-30,3076,projected,4478,,4326,17289,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3290,WGS 84 / SCAR IMW SV31-40,3077,projected,4481,,4326,17290,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3291,WGS 84 / SCAR IMW SV41-50,3078,projected,4484,,4326,17291,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3292,WGS 84 / SCAR IMW SV51-60,3079,projected,4487,,4326,17292,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3293,WGS 84 / SCAR IMW SW01-60,3080,projected,4490,,4326,17293,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3294,WGS 84 / USGS Transantarctic Mountains,3081,projected,4400,,4326,17294,,,Medium scale studies and topographic mapping.,,Scientific Committee for Antarctic Research (SCAR) Geospatial Information Group.,OGP,2005/04/14,,1,0
3295,Guam 1963 / Yap Islands,3108,projected,4499,,4675,15399,,,"Public reference, land and photgrammetric survey, mapping.",,"Yap State Code, Title 20, Chapter 5. http://www.fsmlaw.org/yap/code/title20/T20_Ch05.htm",OGP,2005/05/21,,1,0
3296,RGPF / UTM zone 5S,3120,projected,4400,,4687,16105,,,Large and medium scale topographic mapping and engineering survey.,Replaces Tahaa 54 / UTM zone 5S (CRS code 2977) and Maupiti 83 / UTM zone 5S (code 3306).,"Gouvernement de la Polynésie Française, Service de l'Urbanisme, Section topographie.",OGP,2005/08/12,,1,0
3297,RGPF / UTM zone 6S,3121,projected,4400,,4687,16106,,,Large and medium scale topographic mapping and engineering survey.,Replaces Moorea 87 / UTM zone 6S (CRS code 3305) and Tahiti 79 / UTM zone 6S (code 3304).,"Gouvernement de la Polynésie Française, Service de l'Urbanisme, Section topographie.",OGP,2005/08/12,,1,0
3298,RGPF / UTM zone 7S,3122,projected,4400,,4687,16107,,,Large and medium scale topographic mapping and engineering survey.,"Replaces IGN 63 Hiva Oa / UTM zone 7S (CRS code 3302), IGN 72 Nuku Hiva / UTM zone 7S (code 2978) and MHEFO 55 / UTM zone 7S (code 3303).","Gouvernement de la Polynésie Française, Service de l'Urbanisme, Section topographie.",OGP,2005/08/12,,1,0
3299,RGPF / UTM zone 8S,3123,projected,4400,,4687,16108,,,Large and medium scale topographic mapping and engineering survey.,,"Gouvernement de la Polynésie Française, Service de l'Urbanisme, Section topographie.",OGP,2005/08/12,,1,0
3300,Estonian Coordinate System of 1992,3246,projected,4530,,4133,19938,,,Used for 1:20000 and larger scale mapping.,EST97 / TM Baltic (CRS code 25884) used for medium and small scale applications. Replaced by Estonian Coordinate System of 1997 (code 3301).,http://www.geo.ut.ee/,OGP,2011/06/30,2005.460 2011.055,1,0
3301,Estonian Coordinate System of 1997,1090,projected,4530,,4180,19938,,,Used for 1:20000 and larger scale mapping.,Replaces Estonian Coordinate System of 1992 (code 3300). EST97 / TM Baltic (CRS code 25884) used for medium and small scale applications.,"Estonian National Land Board via EuroGeographics; http://crs.bkg.bund.de/crs-eu/",OGP,2005/05/27,2005.180,1,0
3302,IGN63 Hiva Oa / UTM zone 7S,3130,projected,4400,,4689,16107,,,Large and medium scale topographic mapping and engineering survey.,"Replaced by RGPF / UTM zone 7S, CRS code 3298.","Gouvernement de la Polynésie Française, Service de l'Urbanisme, Section topographie.",OGP,2005/08/12,,1,0
3303,Fatu Iva 72 / UTM zone 7S,3133,projected,4400,,4688,16107,,,Large and medium scale topographic mapping and engineering survey.,"Replaced by RGPF / UTM zone 7S, CRS code 3298.","Gouvernement de la Polynésie Française, Service de l'Urbanisme, Section topographie.",OGP,2005/08/12,,1,0
3304,Tahiti 79 / UTM zone 6S,3124,projected,4400,,4690,16106,,,Large and medium scale topographic mapping and engineering survey.,"Replaces Tahiti 52 / UTM zone 6S (CRS code 2976) in Tahiti. Replaced by RGPF / UTM zone 6S, CRS code 3297.","Gouvernement de la Polynésie Française, Service de l'Urbanisme, Section topographie.",OGP,2005/08/12,,1,0
3305,Moorea 87 / UTM zone 6S,3125,projected,4400,,4691,16106,,,Large and medium scale topographic mapping and engineering survey.,"Replaces Tahiti 52 / UTM zone 6S (CRS code 2976) in Moorea. Replaced by RGPF / UTM zone 6S, CRS code 3297.","Gouvernement de la Polynésie Française, Service de l'Urbanisme, Section topographie.",OGP,2005/08/12,,1,0
3306,Maupiti 83 / UTM zone 5S,3126,projected,4400,,4692,16105,,,Large and medium scale topographic mapping and engineering survey.,"Replaced by RGPF / UTM zone 5S, CRS code 3296.","Gouvernement de la Polynésie Française, Service de l'Urbanisme, Section topographie.",OGP,2005/08/12,,1,0
3307,Nakhl-e Ghanem / UTM zone 39N,2362,projected,4400,,4693,16039,,,Engineering survey for onshore facilities for South Pars phase 11 and Pars LNG.,,Total,OGP,2005/08/17,,1,0
3308,GDA94 / NSW Lambert,3139,projected,4400,,4283,17364,,,Natural Resources mapping of whole State.,,NSW Department of Lands.,OGP,2005/08/18,,1,0
3309,NAD27 / California Albers,1375,projected,4499,,4267,10420,,,Natural Resources mapping of whole State.,,"California Spatial Information Library (CaSIL), http://gis.ca.gov",OGP,2005/09/19,,1,0
3310,NAD83 / California Albers,1375,projected,4499,,4269,10420,,,Natural Resources mapping of whole State.,"For applications with an accuracy of better than 1m, replaced by NAD83(HARN) / California Albers.","California Spatial Information Library (CaSIL), http://gis.ca.gov",OGP,2005/09/19,,1,0
3311,NAD83(HARN) / California Albers,1375,projected,4499,,4152,10420,,,Natural Resources mapping of whole State.,Replaces NAD83 / California Albers for applications with an accuracy of better than 1m. Replaced by NAD83(NSRS2007) / California Albers.,"California Spatial Information Library (CaSIL), http://gis.ca.gov",OGP,2007/04/20,2006.710 2006.903 2007.031,1,0
3312,CSG67 / UTM zone 21N,3765,projected,4400,,4623,16021,,,Large and medium scale topographic mapping and engineering survey.,Replaced by RGFG95 / UTM zone 21N (CRS code 3313).,IGN Paris,OGP,2010/11/02,2010.046,1,0
3313,RGFG95 / UTM zone 21N,3145,projected,4400,,4624,16021,,,Large and medium scale topographic mapping and engineering survey.,Replaces CSG67 / UTM zone 21N (CRS code 3312).,IGN Paris,OGP,2005/09/23,,1,0
3314,Katanga 1955 / Katanga Lambert,3147,projected,4400,,4695,17401,,,Medium and small scale topographic mapping.,,"Clifford J. Mugnier in Photogrammetric Engineering and Remote Sensing, June 2005.",OGP,2005/09/30,2009.011,1,1
3315,Katanga 1955 / Katanga TM,3147,projected,4400,,4695,17402,,,"Cadastre, engineering survey.",,"Clifford J. Mugnier in Photogrammetric Engineering and Remote Sensing, June 2005.",OGP,2005/09/30,2009.011,1,1
3316,Kasai 1953 / Congo TM zone 22,3163,projected,4400,,4696,17422,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3317,Kasai 1953 / Congo TM zone 24,3164,projected,4400,,4696,17424,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3318,IGC 1962 / Congo TM zone 12,3150,projected,4400,,4697,17412,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3319,IGC 1962 / Congo TM zone 14,3151,projected,4400,,4697,17414,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3320,IGC 1962 / Congo TM zone 16,3160,projected,4400,,4697,17416,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3321,IGC 1962 / Congo TM zone 18,3161,projected,4400,,4697,17418,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3322,IGC 1962 / Congo TM zone 20,3162,projected,4400,,4697,17420,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3323,IGC 1962 / Congo TM zone 22,3163,projected,4400,,4697,17422,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3324,IGC 1962 / Congo TM zone 24,3164,projected,4400,,4697,17424,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3325,IGC 1962 / Congo TM zone 26,3165,projected,4400,,4697,17426,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3326,IGC 1962 / Congo TM zone 28,3166,projected,4400,,4697,17428,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3327,IGC 1962 / Congo TM zone 30,3167,projected,4400,,4697,17430,,,"Cadastre, medium scale topographic mapping and engineering survey.",,Institut Geographique du Congo.,OGP,2005/09/30,,1,0
3328,Pulkovo 1942(58) / GUGiK-80,3293,projected,4530,,4179,18286,,,Small scale (1/100000 and smaler) topographic mapping of whole country.,,"Geodeta issue 64, September 2000, http://www.atomnet.pl/~geodeta",OGP,2011/07/20,2011.062,1,0
3329,Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 5,3580,projected,4530,,4179,16265,,,Military large scale (1/5000 and larger) topographic mapping.,"In Czech Republic, Germany and Hungary, replaced by Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 5 (CRS code 2399).","Geodeta issue 64, September 2000, http://www.atomnet.pl/~geodeta and other industry sources.",OGP,2008/09/24,2008.011,1,0
3330,Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 6,3581,projected,4530,,4179,16266,,,Military large scale (1/5000 and larger) topographic mapping.,"In Czech Republic, Hungary and Slovakia, replaced by Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 6 (CRS code 3841).","Geodeta issue 64, September 2000, http://www.atomnet.pl/~geodeta and other industry sources.",OGP,2008/09/24,2008.011,1,0
3331,Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 7,3583,projected,4530,,4179,16267,,,Military large scale (1/5000 and larger) topographic mapping.,"In Hungary and Slovakia, replaced by Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 7 (CRS code 4417).","Geodeta issue 64, September 2000, http://www.atomnet.pl/~geodeta and other industry sources.",OGP,2009/07/03,2008.011 2009.051,1,0
3332,Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 8,3585,projected,4530,,4179,16268,,,Military large scale (1/5000 and larger) topographic mapping.,"In Hungary and Slovakia, replaced by Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 8 (CRS code 4434).","Geodeta issue 64, September 2000, http://www.atomnet.pl/~geodeta and other industry sources.",OGP,2009/07/03,2008.011 2009.051,1,0
3333,Pulkovo 1942(58) / Gauss-Kruger zone 3,1792,projected,4530,,4179,16203,,,Military medium scale (1/10000 and smaller) topographic mapping and survey.,"In Germany, Czech Republic, Hungary and Slovakia, replaced by Pulkovo 1942(83) / Gauss-Kruger zone 3 (CRS code 3835).","Geodeta issue 64, September 2000, http://www.atomnet.pl/~geodeta and other industry sources.",OGP,2008/09/24,2008.011,1,0
3334,Pulkovo 1942(58) / Gauss-Kruger zone 4,3577,projected,4530,,4179,16204,,,Military medium scale (1/10000 and smaller) topographic mapping and survey.,"In Czech Republic, Hungary and Slovakia, replaced by Pulkovo 1942(83) / Gauss-Kruger zone 4 (CRS code3836).","Geodeta issue 64, September 2000, http://www.atomnet.pl/~geodeta and other industry sources.",OGP,2008/09/24,2008.011,1,0
3335,Pulkovo 1942(58) / Gauss-Kruger zone 5,3579,projected,4530,,4179,16205,,,Military medium scale (1/10000 and smaller) topographic mapping and survey.,,"Geodeta issue 64, September 2000, http://www.atomnet.pl/~geodeta and other industry sources.",OGP,2008/09/24,2008.011,1,0
3336,IGN 1962 Kerguelen / UTM zone 42S,2816,projected,4400,,4698,16142,,,Large and medium scale topographic mapping and engineering survey.,,IGN Paris,OGP,2005/11/23,,1,0
3337,Le Pouce 1934 / Mauritius Grid,3209,projected,4400,,4699,19899,,,Large and medium scale topographic mapping and engineering survey.,,"Cartography Section, Ministry of Housing and Land.",OGP,2006/01/16,,1,0
3338,NAD83 / Alaska Albers,1330,projected,4499,,4269,15021,,,Small scale mapping and state planning.,,State of Alaska Department of Natural Resources,OGP,2006/11/11,,1,0
3339,IGCB 1955 / Congo TM zone 12,3150,projected,4400,,4701,17412,,,Large and medium scale topographic mapping and engineering survey.,Oil industry operations used IGBC 1955 / UTM zone 33S (code 3342).,IGN Paris,OGP,2005/11/28,,1,0
3340,IGCB 1955 / Congo TM zone 14,3151,projected,4400,,4701,17414,,,Large and medium scale topographic mapping and engineering survey.,Oil industry operations used IGBC 1955 / UTM zone 33S (code 3342).,IGN Paris,OGP,2005/11/28,,1,0
3341,IGCB 1955 / Congo TM zone 16,3152,projected,4400,,4701,17416,,,Large and medium scale topographic mapping and engineering survey.,Oil industry operations used IGBC 1955 / UTM zone 33S (code 3342).,IGN Paris,OGP,2005/11/28,,1,0
3342,IGCB 1955 / UTM zone 33S,3171,projected,4400,,4701,16133,,,Oil industry operations.,,Petrofina.,OGP,2005/11/28,,1,0
3343,Mauritania 1999 / UTM zone 28N,2971,projected,4400,,4702,16028,,,Large and medium scale topographic mapping and engineering survey.,,"Ministry of Works and Transport, Topography and Cartography Directive.",OGP,2006/03/16,,1,0
3344,Mauritania 1999 / UTM zone 29N,2970,projected,4400,,4702,16029,,,Large and medium scale topographic mapping and engineering survey.,,"Ministry of Works and Transport, Topography and Cartography Directive.",OGP,2006/03/16,,1,0
3345,Mauritania 1999 / UTM zone 30N,2969,projected,4400,,4702,16030,,,Large and medium scale topographic mapping and engineering survey.,,"Ministry of Works and Transport, Topography and Cartography Directive.",OGP,2006/03/16,,1,0
3346,LKS94 / Lithuania TM,1145,projected,4530,,4669,19934,,,Large and medium scale topographic mapping and engineering survey.,LKS94 / TM Baltic (CRS code 25884) used for medium and small scale applications.,"EuroGeographics; http://crs.bkg.bund.de/crs-eu/",OGP,2005/11/30,,1,0
3347,NAD83 / Statistics Canada Lambert,1061,projected,4400,,4269,19897,,,Small scale mapping and statistical analysis.,"Data may sometimes be referenced to NAD83(CSRS) / STC Lambert (see CRS code 3348) which is then called ""NAD83 / STC Lambert"". At the scales involved the difference of under 2 metres between the two CRSs may not be significant.",Statistics Canada.,OGP,2010/03/30,2010.002,1,0
3348,NAD83(CSRS) / Statistics Canada Lambert,1061,projected,4400,,4617,19897,,,Small scale mapping and statistical analysis.,"This CRS may sometimes be called ""NAD83 / STC Lambert"". That is the name of a different system (see CRS code 3347) but at the scales involved the positional difference of under 2 metres may not be significant.",Statistics Canada.,OGP,2005/12/21,,1,0
3349,WGS 84 / PDC Mercator,3172,projected,4400,,4326,19898,,,Small scale mapping and analysis.,,"Pacific Disaster Center, Kihei, Hawaii, USA.",OGP,2005/12/21,,1,1
3350,Pulkovo 1942 / CS63 zone C0,3173,projected,4530,,4284,18450,,,Large and medium scale topographic mapping and engineering survey.,,Informacines Technologijos Group,OGP,2005/12/21,,1,0
3351,Pulkovo 1942 / CS63 zone C1,3174,projected,4530,,4284,18451,,,Large and medium scale topographic mapping and engineering survey.,,Informacines Technologijos Group,OGP,2005/12/21,,1,0
3352,Pulkovo 1942 / CS63 zone C2,3175,projected,4530,,4284,18452,,,Large and medium scale topographic mapping and engineering survey.,,Informacines Technologijos Group,OGP,2005/12/21,,1,0
3353,Mhast (onshore) / UTM zone 32S,3179,projected,4400,,4704,16132,,,Large and medium scale topographic mapping and engineering survey.,"Used by CABGOC. For offshore areas, in 1979 replaced by Mhast (offshore) / UTM zone 32S (CRS code 3354), from which this CRS differs by approximately 10m.",ChevronTexaco.,OGP,2006/01/06,,1,0
3354,Mhast (offshore) / UTM zone 32S,3180,projected,4400,,4705,16132,,,Oil industry exploration and production between 1979 and 1987.,Used by CABGOC for offshore areas between 1979 and 1987. Differs from Mhast (onshore) / UTM zone 32S by approximately 10m. Replaced by Malongo 1987 / UTM zone 32S (CRS code 25932) in 1987.,ChevronTexaco.,OGP,2006/01/06,,1,0
3355,Egypt Gulf of Suez S-650 TL / Red Belt,2341,projected,4400,,4706,18072,,,Oil industry exploration and production in Gulf of Suez after 1980.,Differs from Egypt 1907 / Red Belt (CRS code 22992) by approximately 20m.,Various industry sources.,OGP,2006/01/31,,1,0
3356,Grand Cayman 1959 / UTM zone 17N,3185,projected,4400,,4723,16017,,,"Topographic mapping, cadastral and engineering survey.",,"Clifford J. Mugnier; in Photogrammetric Engineering & Remote Sensing November 1998. http://www.asprs.org/",OGP,2006/01/26,,1,0
3357,Little Cayman 1961 / UTM zone 17N,3186,projected,4400,,4726,16017,,,"Topographic mapping, cadastral and engineering survey.",,"Clifford J. Mugnier; in Photogrammetric Engineering & Remote Sensing November 1998. http://www.asprs.org/",OGP,2006/01/26,,1,0
3358,NAD83(HARN) / North Carolina,1402,projected,4499,,4152,13230,,,Large and medium scale topographic mapping and engineering survey.,State law defines system in US survey feet. See CRS code 3404 for equivalent non-metric definition. Replaces NAD83 / SPCS for applications with an accuracy of better than 1m. Replaced by NAD83(NSRS2007) / SPCS.,National Geodetic Survey,OGP,2007/04/20,2006.710 2006.903 2007.031,1,0
3359,NAD83(HARN) / North Carolina (ftUS),1402,projected,4495,,4152,15346,,,Large and medium scale topographic mapping and engineering survey.,State law defines system in US survey feet. Federal definition is metric - see CRS code 3358.,National Geodetic Survey,OGP,2007/01/20,2006.710 2006.903,1,1
3360,NAD83(HARN) / South Carolina,1409,projected,4499,,4152,13930,,,Large and medium scale topographic mapping and engineering survey.,State law defines system in International feet (note: not US survey feet). See code 3361 for equivalent non-metric definition. Replaces NAD83 / SPCS for applications with an accuracy of better than 1m. Replaced by NAD83(NSRS2007) / SPCS.,National Geodetic Survey,OGP,2007/04/20,2006.710 2006.903 2007.031,1,0
3361,NAD83(HARN) / South Carolina (ft),1409,projected,4495,,4152,15355,,,Large and medium scale topographic mapping and engineering survey.,State law defines system in International feet (note: not US survey feet). Federal definition is metric - see code 3360. Replaces NAD83 / SPCS for applications with an accuracy of better than 3 feet. Replaced by NAD83(NSRS2007) / SPCS.,National Geodetic Survey,OGP,2007/04/20,2006.710 2006.903 2007.031,1,0
3362,NAD83(HARN) / Pennsylvania North,2245,projected,4499,,4152,13731,,,Large and medium scale topographic mapping and engineering survey.,State law defines system in US survey feet. See code 3363 for equivalent non-metric definition. Replaces NAD83 / SPCS for applications with an accuracy of better than 1m. Replaced by NAD83(NSRS2007) / SPCS.,National Geodetic Survey,OGP,2007/04/20,2006.710 2006.903 2007.031,1,0
