coord_op_code,coord_op_name,coord_op_type,source_crs_code,target_crs_code,coord_tfm_version,coord_op_variant,area_of_use_code,coord_op_scope,coord_op_accuracy,coord_op_method_code,uom_code_source_coord_diff,uom_code_target_coord_diff,remarks,information_source,data_source,revision_date,change_id,show_operation,deprecated
1571,Amersfoort to ETRS89 (1),transformation,4258,4326,NCG-Nld 2000,1,1172,Accuracy 0.5m,,9607,,,"Dutch sources also quote an equivalent transformation with parameter values dX=+593.032 dY=+26.000 dZ=+478.741m, rX rY rZ and dS as this tfm. These values belong to a different transformation method and cannot be used with the Coordinate Frame method.",http://rdnap.kadaster.nl/rd/index.html Also Nederlandse Commissie voor Geodesie publication 30; 3rd edition 1997. Also with change of method and parameter units at EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2000-10-19,,1,1
1572,NAD83 to NAD83(CSRS98) (1),transformation,4269,4140,SGQ-Can QC,1,1368,Accuracy 1-2 metres.,,9615,,,Uses NT method which expects longitudes positive west; EPSG GeogCRSs NAD83 (code 4269) and NAD83(CSRS98) (code 4140) have longitudes positive east. Can be taken as an approximate transformation NAD83 to WGS 84 - see code 1696.,Geodetic Service of Quebec. Contact alain.bernard@mrn.gouv.qc.ca,OGP,2000-10-19,,1,1
1573,NAD27 to NAD83 (6),transformation,4267,4269,SGQ-Can QC NT2,6,1368,Accuracy 1-2 metres.,1.5,9615,,,Replaces NAD27 to NAD83 (5) (code 1462). Uses NT method which expects longitudes positive west; EPSG GeogCRSs NAD27 (code 4267) and NAD83 (code 4269) have longitudes positive east.,Geodetic Service of Quebec. Contact alain.bernard@mrn.gouv.qc.ca,OGP,2000-10-19,,1,0
1574,NAD27 to NAD83(CSRS98) (1),transformation,4267,4140,SGQ-Can QC,1,1368,Accuracy 1-2 metres.,,9615,,,Uses NT method which expects longitudes positive west; EPSG GeogCRSs NAD27 (code 4267) and NAD83(CSRS98) (code 4140) have longitudes positive east. Can be taken as an approximate transformation NAD27 to WGS 84 - see code 1692.,Geodetic Service of Quebec. Contact alain.bernard@mrn.gouv.qc.ca,OGP,2000-10-19,,1,1
1575,NAD27(CGQ77) to NAD83 (2),transformation,4609,4269,SGQ-Can QC NT2,2,1368,Accuracy 1-2 metres.,1.5,9615,,,Replaces NAD27(CGQ77) to NAD83 (1) (code 1451). Uses NT method which expects longitudes positive west; EPSG GeogCRSs CGQ77 and NAD83 (codes 4609 and 4269) have longitudes positive east. Can be taken as approx transformation to WGS 84 - see code 1691.,Geodetic Service of Quebec. Contact alain.bernard@mrn.gouv.qc.ca,OGP,2007-03-22,2007.043,1,0
1576,NAD27(CGQ77) to NAD83(CSRS98) (1),transformation,4609,4140,SGQ-Can QC,1,1368,Accuracy 1-2 metres.,,9615,,,Uses NT method which expects longitudes positive west; EPSG GeogCRSs NAD27(CGQ77) (code 4609) and NAD83(CSRS98) (code 4140) have 1691longitudes positive east. Can be taken as an approximate transformation NAD27(CGQ77) to WGS 84 - see code 1691.,Geodetic Service of Quebec. Contact alain.bernard@mrn.gouv.qc.ca,OGP,2000-10-19,,1,1
1577,American Samoa 1962 to WGS 84 (1),transformation,4169,4326,NIMA-Asm,1,3109,For military purposes. One sigma uncertainty is 25m in each axis.,44,9603,,,Transformation based on observations at 2 stations in 1993.,NIMA TR8350.2 revision of January 2000.,OGP,2005-05-21,2005.230,1,0
1578,American Samoa 1962 to NAD83(HARN) (1),transformation,4169,4152,NGS-Asm W,1,2288,Geodetic survey. No accuracy stated.,5,9613,,,NADCON method which expects longitudes positive west; EPSG GeogCRSs American Samoa 1962 and NAD83(HARN) (codes 4169 and 4152) have longitudes positive east. NADCON expects latitudes in northern hemisphere and values must be made positive prior to input.,ftp://ftp.ngs.noaa.gov/pub/pcsoft/nadcon/samoa_readme.txt,OGP,2004-04-27,2004.360,1,0
1579,American Samoa 1962 to NAD83(HARN) (2),transformation,4169,4152,NGS-Asm E,2,2289,Geodetic survey. No accuracy stated.,5,9613,,,NADCON method which expects longitudes positive west; EPSG GeogCRSs American Samoa 1962 and NAD83(HARN) (codes 4169 and 4152) have longitudes positive east. NADCON expects latitudes in northern hemisphere and values must be made positive prior to input.,ftp://ftp.ngs.noaa.gov/pub/pcsoft/nadcon/samoa_readme.txt,OGP,2004-04-27,2004.360,1,0
1580,NAD83(HARN) to WGS 84 (1),transformation,4152,4326,EPSG-Usa,1,1337,Approximation at the +/- 1m level assuming that NAD83(HARN) is equivalent to WGS 84.,1,9603,,,For many purposes NAD83(HARN) can be considered to be coincident with WGS 84.,OGP,OGP,2005-05-21,2005.230,1,0
1581,SIRGAS to WGS 84 (1),transformation,4170,4326,NIMA-S America,1,3448,For military purposes. Accuracy 1m in each axis.,2,9603,,,,NIMA TR8350.2 revision of January 2000.,OGP,2006-07-29,2001.330 2006.465,1,0
1582,PSAD56 to WGS 84 (10),transformation,4248,4326,TOT-Bol  Mad,10,2400,Oil exploration.,3,9603,,,Derived May 1995 by Geoid for Total. OSU91A geoid model used.,TotalFinaElf,OGP,2000-10-19,,1,0
1583,PSAD56 to WGS 84 (11),transformation,4248,4326,TOT-Bol  B20,11,2401,Oil exploration.,0.5,9603,,,Derived July 1997 by Geoid from data recorded by UGA for Total. OSU91A geoid model used.,Total-Fina,OGP,2000-10-19,,1,0
1584,Deir ez Zor to WGS 72BE (1),transformation,4227,4324,GECO-Syr,1,2329,Oil exploration.,5,9603,,,Recomputed in 1991 by Elf from data derived in 1983 at station 254 Deir by Geco using Transit. Derivation of 1983 parameter values of dX=-163.2 dY=-12.7 dZ=+232.7 contained errors in geodetic parameters for Syria.,Elf,OGP,2005-04-14,2005.020,1,0
1585,Deir ez Zor to WGS 84 (2),transformation,4227,4326,IGN-Syr,2,1227,?,999,9603,,,,IGN Paris,OGP,2000-10-19,,1,1
1586,Deir ez Zor to WGS 84 (3),transformation,4227,4326,SHL-Syr Whal,3,2327,Oil exploration.,999,9606,,,"Derived in 1995 by CGG for Al Furat Petroleum Company. Can be approximated using geocentric translations of dX=-174.3m, dY=+14.1m, dZ=+237.6m.",Elf,OGP,2005-04-14,2005.020,1,0
1587,Deir ez Zor to WGS 84 (4),transformation,4227,4326,ELF-Syr Shad,4,2328,Oil exploration.,1,9603,,,Derived at four stations by Topnav in 1997.,Elf,OGP,2000-10-19,,1,0
1588,ED50 to ETRS89 (1),transformation,4230,4258,NMA-Nor N65 1997,1,2332,Accuracy 1m.,1,9606,,,Included in Statens Kartverk programme wsktrans from 1997. The same parameter values were adopted for ED50 to WGS84 (variant 23) transformation offshore Norway north of 62N from April 2001 - see code 1612.,Statens Kartverk.,OGP,2001-06-05,2001.060,1,0
1589,ED50 to ETRS89 (3),transformation,4230,4258,NMA-Nor 6265W,3,2333,Accuracy 2m.,2,9620,,,Included in Statens Kartverk programme wsktrans from 1997. See ED50 to WGS84 (23) (code 1612) for a simpler transformation accurate to better than 4m.,Statens Kartverk,OGP,2000-10-19,,1,0
1590,ED50 to WGS 84 (22),transformation,4230,4326,NMA-Nor 6265W 1997,22,2333,Oil exploration before 2001.,0.5,9620,,,Included in Statens Kartverk programme wsktrans between 1997 (v3.1) and 2001 (v4.0). Replaced ED50 to WGS 84 (20) (code 1450) in 1997. Replaced by ED50 to WGS 84 (23) (code 1612) in April 2001.,Statens Kartverk.,OGP,2007-03-22,2007.043,1,0
1591,RGF93 to ETRS89 (1),transformation,4171,4258,IGN-Fra,1,1096,RGF93 is a regional realisation of ETRS89.,0,9603,,,May be taken as approximate transformation RGF93 to WGS 84 - see code 1671.,TotalFinaElf,OGP,2000-10-10,,1,0
1592,Timbalai 1948 to WGS 84 (2),transformation,4298,4326,BSP-Brn,2,2348,Offshore oil exploration.,5,9603,,,,Brunei Shell Petroleum,OGP,2006-09-21,2002.700 2006.252,1,0
1593,AGD84 to GDA94 (4),transformation,4203,4283,DOLA-Aus WA 0.1m,4,1280,0.1m accuracy.,0.1,9615,,,Replaces AGD84 to GDA94 (3) (code 1559) and then replaced by AGD84 to GDA94 (5) (code 1804). Input expects longitudes to be positive west; EPSG GeogCRS AGD84 (code 4203) and GDA94 (code 4283) both have longitudes positive east.,"Department of Land Information, Government of Western Australia; http://www.dola.wa.gov.au/",OGP,2007-03-22,2005.460 2007.043,1,0
1594,AGD66 to GDA94 (8),transformation,4202,4283,OSG-Tas 1m,8,1282,Recommended for mid-accuracy use in Tasmania. 1m accuracy.,1,9607,,,Replaces AGD66 to GDA94 (3) (code 1459) from August 2000. For higher accuracy requirements see AGD66 to GDA94 (11) (code 1803). May be taken as approximate transformation AGD66 to WGS 84 - see code 1667.,"GDA Technical Manual, http://www.icsm.gov.au/gda, and http://www.delm.tas.gov.au/osg/Geodetic_transform.htm",OGP,2006-01-02,2005.860 2006.010,1,0
1595,AGD66 to GDA94 (9),transformation,4202,4283,Auslig-NT 1m,9,2284,Recommended for mid-accuracy use in Northern Territory. 1m accuracy.,1,9607,,,For higher accuracy requirements see AGD66 to GDA94 (11) (code 1803). May be taken as approximate transformation AGD66 to WGS 84 - see code 1668.,GDA Technical Manual. http://www.icsm.gov.au/gda,OGP,2006-01-02,2005.860 2006.010,1,0
1596,AGD66 to GDA94 (10),transformation,4202,4283,OSG-Aus SE 0.1m,10,2287,0.1m accuracy.,0.1,9615,,,Replaces AGD66 to GDA94 (5) (code 1464). Replaced by AGD66 to GDA94 (11) (code 1803). Input expects longitudes to be positive west; EPSG GeogCRS AGD66 (code 4202) and GDA94 (code 4283) both have longitudes positive east.,Office of Surveyor General Victoria; http://www.land.vic.gov.au/,OGP,2007-03-22,2005.460 2005.860 2007.043,1,0
1597,Bogota 1975 to WGS 84 (2),transformation,4218,4326,BP-Col CusCup,2,2315,Oil exploration.,0.2,9603,,,Derived in 1995 by WGC at first order stations Recreo and Mena via multi-day ties to 4 IGS stations. Residuals under 20cm.,Various industry sources,OGP,2000-10-19,,1,0
1598,POSGAR to WGS 84 (1),transformation,4172,4326,EPSG-Arg,1,1033,?,,9603,,,,OGP,OGP,2000-10-19,,1,1
1599,ATS77 to NAD83(CSRS98) (2),transformation,4122,4140,PEI DOT-Can PEI,2,1533,?,,9615,,,Can be taken as an approximate transformation ATS77 to WGS 84 - see code 1689.,PEI Department of Transportation & Public Works,OGP,2000-10-19,,1,1
1600,NAD27 to NAD83(CSRS98) (2),transformation,4267,4140,SK PMC-Can SK,2,2375,Accuracy 1-2 metres.,,9615,,,Can be taken as an approximate transformation NAD27 to WGS 84 - see code 1703.,Dir Geodetic Surveys; SaskGeomatics Div.; Saskatchewan Property Management Company.,OGP,2000-10-19,,1,1
1601,NAD83 to NAD83(CSRS98) (2),transformation,4269,4140,SK PMC-Can SK,2,2375,Accuracy 1-2 metres.,,9615,,,Can be taken as an approximate transformation NAD83 to WGS 84 - see code 1697.,Dir Geodetic Surveys; SaskGeomatics Div.; Saskatchewan Property Management Company.,OGP,2000-10-19,,1,1
1602,NAD83 to NAD83(CSRS98) (3),transformation,4267,4140,AB Env-Can AB,2,2376,Accuracy 1-2 metres.,,9615,,,"This gridded difference file AB_CSRS.DAC will need to be renamed to AB_CSRS.gsb to run in some software suites. Formats identical, but AB file is provincial fit only.",Geodetic Control Section; Land and Forest Svc; Alberta Environment; http://www.gov.ab.ca/env/land/dos/ or email to geoff.banham@gov.ab.ca,OGP,2000-10-19,,1,1
1603,NAD27 to ATS77 (1),transformation,4267,4122,SNB-Can NB,1,1447,?,1,9634,,,For reverse transformation see ATS77 to NAD27 (1) (code 1947),Survey of New Brunswick,OGP,2004-08-23,2003.080 2004.470,1,0
1604,NAD27 to ATS77 (2),transformation,4267,4122,SNB-Can NS,2,2313,?,1,9634,,,For reverse transformation see ATS77 to NAD27 (2) (code 1948).,Survey of New Brunswick,OGP,2003-02-25,2003.080,1,0
1605,NAD27 to ATS77 (3),transformation,4267,4122,SNB-Can PEI,3,1533,?,1,9634,,,For reverse transformation see ATS77 to NAD27 (3) (code 1949).,Survey of New Brunswick,OGP,2003-02-25,2003.080,1,0
1606,ATS77 to NAD27 (1),transformation,4122,4267,SNB-Can NB,1,1447,?,,9634,,,For reverse transformation see NAD27 to ATS77 (1) (code 1603),Survey of New Brunswick,OGP,2000-10-19,,1,1
1607,ATS77 to NAD27 (2),transformation,4122,4267,SNB-Can NS,2,2313,?,,9634,,,For reverse transformation see NAD27 to ATS77 (2) (code 1604),Survey of New Brunswick,OGP,2000-10-19,,1,1
1608,ATS77 to NAD27 (3),transformation,4122,4267,SNB-Can PEI,3,1533,?,,9634,,,For reverse transformation see NAD27 to ATS77 (3) (code 1605),Survey of New Brunswick,OGP,2000-10-19,,1,1
1609,BD72 to WGS 84 (1),transformation,4313,4326,IGN-Bel 7,1,1044,For applications to an accuracy of 1 metre.,1,9607,,,Scale difference is given by information source as 0.999999. Given in this record in ppm to assist application usage. Very similar parameter values (to slightly less precision) used for BD72 to ETRS89: see code 1652.,IGN Brussels www.ngi.be,OGP,2006-07-30,2006.550,1,0
1610,BD72 to WGS 84 (2),transformation,4313,4326,IGN-Bel 3,2,1044,For applications to an accuracy of 5 metres.,5,9603,,,,IGN Brussels www.ngi.be,OGP,2000-10-19,,1,0
1611,IRENET95 to ETRS89 (1),transformation,4173,4258,OSI-Ire,1,1305,IRENET95 is a regional realisation of ETRS89.,0,9603,,,May be taken as approximate transformation IRENET95 to WGS 84 - see code 1678.,Ordnance Survey of Ireland,OGP,2007-11-01,2007.099,1,0
1612,ED50 to WGS 84 (23),transformation,4230,4326,EPSG-Nor N62 2001,23,2601,Oil industry offshore.,1,9606,,,"Parameter values are taken from ED50 to ETRS89 (1), code 1588. Adopted for ED50 to WGS84 transformations offshore Norway north of 62N from April 2001 when it replaced code 1590. Included in Statens Kartverk programme wsktrans from v4.0.",EPSG Guidance Note #10,OGP,2007-03-22,2007.043,1,0
1613,ED50 to WGS 84 (24),transformation,4230,4326,EPSG-Nor S62 2001,24,2334,Approximation to 1 metre for oil industry use.,1,9606,,,"Approximation to 1 metre of concatenated transformation ED50 to WGS 84 (14), code 8653. 8653 remains the transformation promulgated by Statens Kartverk but 1613 recommended by EPSG for practical oil industry usage.",EPSG Guidance Note #10,OGP,2001-06-05,,1,0
1614,Sierra Leone 1968 to WGS 84 (1),transformation,4175,4326,NIMA-Sle,1,1209,Accuracy +/- 15m in each axis.,26,9603,,,Determined at 8 stations. Info. source has the source CRS as Sierra Leone 1960. Sierra Leone 1968 is a readjustment of the 1960 network: coordinates changed by less than 3 metres.,"NIMA TR8350.2 revision 3, 1997.",OGP,2001-06-05,,1,0
1615,Timbalai 1948 to WGS 84 (3),transformation,4298,4326,SD-Brn,3,2349,Topographic and engineering survey onshore.,100,9603,,,CARE! Erroneous GPS data was used in the derivation of these parameters. They produce a coordinate difference of 10m horizontally and 50m vertically compared to Timbalai 1948 to WGS 84 (2) (code 1592).,Brunei Survey Department,OGP,2006-09-21,2006.252,1,0
1616,PSD93 to WGS 72 (1),transformation,4134,4322,PDO-Omn 93,1,1183,Oil exploration. Residuals 1.2m at 67% probability level.,1.2,9606,,,,Petroleum Development Oman,OGP,2001-06-05,,1,0
1617,PSD93 to WGS 84 (3),transformation,4134,4326,Tot-Omn 95,3,2404,Oil exploration.,0.5,9606,,,Accuracy better than 0.5m in block 4.,TotalFinaElf,OGP,2001-06-05,,1,0
1618,MGI to WGS 84 (3),transformation,4312,4326,BEV-Aut,3,1037,For applications to an accuracy of 1.5 metres.,1.5,9606,,,Same transformation parameters used for MGI to ETRS89 (1) (code 1619).,Bundesamt für Eich- und Vermessungswesen via EuroGeographics http://crs.bkg.bund.de/crs-eu,OGP,2006-12-16,2006.971,1,0
1619,MGI to ETRS89 (1),transformation,4312,4258,BEV-Aut,1,1037,For applications to an accuracy of 1.5 metres.,1.5,9606,,,Same transformation parameters used for MGI to WGS 84 (3) (code 1618). Precision of parameter values in this record were increased effective 16-Dec-2006 (db v6.12): see change record 2006.971.,Bundesamt für Eich- und Vermessungswesen via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2006-12-16,2006.971,1,0
1620,MGI to ETRS89 (2),transformation,4312,4258,DGU-Hrv,2,1076,For applications to an accuracy of 1 metre.,1,9606,,,May be taken as approximate transformation MGI to WGS 84 - see code 1621.,Drzavna Geodetska Uprava via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,2009.015,1,1
1621,MGI to WGS 84 (4),transformation,4312,4326,EPSG-Hrv,4,1076,For applications to an accuracy of 1 metre.,1,9606,,,Parameter values from MGI to ETRS89 (2) (code 1620). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,2009.015,1,1
1622,S-JTSK to ETRS89 (1),transformation,4156,4258,CUZK-Cze,1,1079,For applications to an accuracy of 1 metre.,1,9606,,,May be taken as approximate transformation S-JTSK to WGS 84 - see code 1623.,Cesky Urad Zememericky a Katastraln via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1623,S-JTSK to WGS 84 (1),transformation,4156,4326,EPSG-Cze,1,1079,For applications to an accuracy of 1 metre.,1,9606,,,Parameter values from S-JTSK to ETRS89 (1) (code 1622). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1624,S-JTSK to ETRS89 (2),transformation,4156,4258,UGKK-Svk,2,1211,For applications to an accuracy of 1 metre.,1,9606,,,May be taken as approximate transformation S-JTSK to WGS 84 - see code 1625.,"Urad Geodezie, Kartografie a Katastra via EuroGeographics; http://crs.bkg.bund.de/crs-eu/",OGP,2001-06-05,,1,0
1625,S-JTSK to WGS 84 (2),transformation,4156,4326,EPSG-Svk,2,1211,For applications to an accuracy of 1 metre.,1,9606,,,Parameter values from S-JTSK to ETRS89 (2) (code 1624). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1626,ED50 to ETRS89 (4),transformation,4230,4258,KMS-Dnk,4,1080,For applications to an accuracy of 1 metre.,1,9606,,,May be taken as approximate transformation ED50 to WGS 84 - see code 1627.,Kort & Matrikelstyrelsen via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1627,ED50 to WGS 84 (25),transformation,4230,4326,EPSG-Dnk,25,1080,For applications to an accuracy of 1 metre.,1,9606,,,Parameter values from ED50 to ETRS89 (4) (code 1626). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1628,ED50 to ETRS89 (5),transformation,4230,4258,DGC-Gib,5,1105,For applications to an accuracy of 1 metre.,1,9603,,,May be taken as approximate transformation ED50 to WGS 84 - see code 1629.,UK Defence Geographic and Imagery Intelligence Agency via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1629,ED50 to WGS 84 (26),transformation,4230,4326,EPSG-Gib,26,1105,For applications to an accuracy of 1 metre.,1,9603,,,Parameter values from ED50 to ETRS89 (5) (code 1628). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1630,ED50 to ETRS89 (6),transformation,4230,4258,CNIG-Esp Bal,6,2335,For applications to an accuracy of 1.5 metres.,1.5,9606,,,May be taken as approximate transformation ED50 to WGS 84 - see code 1631.,Centro Nacional de Informacion Geografica via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1631,ED50 to WGS 84 (27),transformation,4230,4326,EPSG-Esp Bal,27,2335,For applications to an accuracy of 1.5 metres.,1.5,9606,,,Parameter values from ED50 to ETRS89 (6) (code 1630). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1632,ED50 to ETRS89 (7),transformation,4230,4258,CNIG-Esp,7,2336,For applications to an accuracy of 1.5 metres.,1.5,9606,,,May be taken as approximate transformation ED50 to WGS 84 - see code 1633.,Centro Nacional de Informacion Geografica via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1633,ED50 to WGS 84 (28),transformation,4230,4326,EPSG-Esp,28,2336,For applications to an accuracy of 1.5 metres.,1.5,9606,,,Parameter values from ED50 to ETRS89 (7) (code 1632). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1634,ED50 to ETRS89 (8),transformation,4230,4258,CNIG-Esp NW,8,2337,For applications to an accuracy of 1.5 metres.,1.5,9606,,,May be taken as approximate transformation ED50 to WGS 84 - see code 1635.,Centro Nacional de Informacion Geografica via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1635,ED50 to WGS 84 (29),transformation,4230,4326,EPSG-Esp NW,29,2337,For applications to an accuracy of 1.5 metres.,1.5,9606,,,Parameter values from ED50 to ETRS89 (8) (code 1634). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1636,D48 / GK to D96 / TM (5),transformation,3787,3794,GuRS-Svn 5,5,3348,Accuracy 0.2m.,0.2,9621,,,Information source gives rotation angle of source CRS axes as 359.9988083326° using opposite rotation convention to EPSG formula.,"Geodetska uprava Republike Slovenije, http://www.gu.gov.si",OGP,2008-07-20,2009.015,1,1
1637,D48 / GK to D96 / TM (6),transformation,3787,3794,GuRS-Svn 6,6,2422,Accuracy 0.2m.,0.2,9621,,,Information source gives rotation angle of source CRS axes as 359.9985894280° using opposite rotation convention to EPSG formula.,"Geodetska uprava Republike Slovenije, http://www.gu.gov.si",OGP,2008-07-20,2009.015,1,1
1638,KKJ to ETRS89 (1),transformation,4123,4258,NLS-Fin,1,1095,For applications to an accuracy of 1 to 2 metres.,1.5,9606,,,May be taken as approximate transformation KKJ to WGS 84 - see code 1639. Replaced by KKJ to ETRS89 (2) (code 10098).,National Land Survey of Finland via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2007-03-22,2004.120 2007.043,1,0
1639,KKJ to WGS 84 (1),transformation,4123,4326,EPSG-Fin,1,1095,For applications to an accuracy of 1 to 2 metres.,1.5,9606,,,Parameter values from KKJ to ETRS89 (1) (code 1638). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation. Replaced by KKJ to WGS 84 (2) (code 10099).,OGP,OGP,2007-03-22,2007.043,1,0
1640,TM65 to ETRS89 (1),transformation,4299,4258,OSI-Ire,1,1305,For applications to an accuracy of 1 metre.,,9606,,,May be taken as approximate transformation TM65 to WGS 84 - see code 1641.,Ordnance Survey Ireland via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,1
1641,TM65 to WGS 84 (2),transformation,4299,4326,EPSG-Ire,2,1125,For applications to an accuracy of 1 metre.,1,9606,,,"Parameter values from TM75 to ETRS89 (2) (code 1953). Assumes each pair of (i) TM65 and TM75, and (ii) ETRS89 and WGS 84, can be considered the same to within the accuracy of the transformation.",OGP,OGP,2003-06-27,2002.621,1,0
1642,Luxembourg 1930 to ETRS89 (1),transformation,4181,4258,ACT-Lux,1,1146,For applications to an accuracy of 1 metre.,1,9606,,,May be taken as approximate transformation Luxembourg 1930 to WGS 84 - see code 1643.,Administration du Cadastre et de la Topographie via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1643,Luxembourg 1930 to WGS 84 (1),transformation,4181,4326,EPSG-Lux,1,1146,For applications to an accuracy of 1 metre.,1,9606,,,Parameter values from Luxembourg 1930 to ETRS89 (1) (code 1642). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1644,Pulkovo 1942(58) to ETRS89 (1),transformation,4179,4258,GUGK-Pol,1,1192,For applications to an accuracy of 1 metre.,1,9606,,,"May be taken as approximate transformation Pulkovo 1942(58) to WGS 84 - see code 1645. Parameter values given to greater precision but to no better accuracy in GUGiK Technical Instruction G-2, Warsaw 2001.",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2006-02-02,2005.590,1,0
1645,Pulkovo 1942(58) to WGS 84 (1),transformation,4179,4326,EPSG-Pol,1,1192,For applications to an accuracy of 1 metre.,1,9606,,,Parameter values from Pulkovo 1942(58) to ETRS89 (1) (code 1644). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1646,CH1903 to ETRS89 (1),transformation,4149,4258,BfL-Che,1,1286,Accuracy 1.5 metres.,1.5,9603,,,These parameters are derived from CH1903+ to ETRS89 (code 1647) and are used as from CH1903 as an approximation which is within the accuracy of the distortions in the CH1903 network.,Bundesamt für Landestopographie via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2006-12-29,2006.992,1,0
1647,CH1903+ to ETRS89 (1),transformation,4150,4258,BfL-Che,1,1286,For applications to an accuracy of 0.1 metres.,0.1,9603,,,This transformation is also given as CH1903+ to CHTRF95 (1) (code 1509). CHTRF95 is a local realisation of ETRS89.,Bundesamt für Landestopographie via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1648,EST97 to ETRS89 (1),transformation,4180,4258,NLB-Est,1,1090,EST97 is a realisation of ETRS89.,0,9603,,,May be taken as approximate transformation EST97 to WGS 84 - see code 1649.,Estonian National Land Board via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1649,EST97 to WGS 84 (1),transformation,4180,4326,EPSG-Est,1,1090,For applications to an accuracy of 1 metre.,1,9603,,,Parameter values taken from EST97 to ETRS89 (1) (code 1648). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1650,ED50 to ETRS89 (10),transformation,4230,4258,IGN-Fra,10,1096,For applications to an accuracy of 2 metres.,2,9603,,,These same parameter values are used to transform to WGS 84. See ED50 to WGS 84 (17) (code 1275).,Institut Geographique National via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1651,NTF to ETRS89 (1),transformation,4275,4258,IGN-Fra,1,1096,For applications to an accuracy of 2 metres.,2,9603,,,These same parameter values are used to transform to WGS 84. See NTF to WGS 84 (1) (code 1193).,Institut Geographique National via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1652,BD72 to ETRS89 (1),transformation,4313,4258,IGN-Bel,1,1044,For applications to an accuracy of 1 metre.,1,9606,,,May be taken as approximate transformation BD72 to WGS 84 - see code 1609.,Institut Geographique National via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1653,NGO 1948 to ETRS89 (1),transformation,4273,4258,SKV-Nor,1,1352,For applications to an accuracy of 3 metres.,3,9606,,,May be taken as approximate transformation NGO 1948 to WGS 84 - see code 1654.,Statens Kartverk via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2001-06-05,,1,0
1654,NGO 1948 to WGS 84 (1),transformation,4273,4326,EPSG-Nor,1,1352,For applications to an accuracy of 3 metres.,3,9606,,,Parameter values from NGO 1948 to ETRS89 (1) (code 1653). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,OGP,OGP,2001-06-05,,1,0
1655,Lisbon to ETRS89 (1),transformation,4207,4258,ICC-Prt 2000,1,1294,For applications to an accuracy of 3 metres.,3,9606,,,"Derived in 2000 at 8 stations. Replaced by 2001 derivation (tfm code 1997). May be taken as approximate transformation to WGS 84 - see tfm code 1656,",Instituto Portugues de Cartografia e Cadastro via EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2007-03-22,2003.233 2003.234 2007.043,1,0
